,Id,LotFrontage,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LowQualFinSF,MSSubClass,MasVnrArea,MasVnrType,MiscVal,MoSold,OpenPorchSF,OverallQual,PavedDrive,PoolArea,RoofMatl,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,TotalSF,BuiltAge,RemodelAge,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,CentralAir_N,CentralAir_Y,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OverallCond_1,OverallCond_2,OverallCond_3,OverallCond_4,OverallCond_5,OverallCond_6,OverallCond_7,OverallCond_8,OverallCond_9,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD
0,1,6.55789624365,14.3003937287,14.2913769559,0.0,3,4,3,13.5717952533,0.0,2,6,1.0,0.0,2,-0.934523972434,2,2,4,0.0,4,2,4,3,0,2,6,0.352080735868,2,5,2,5,17.1625641785,1,1,0,5,1,2,0,25.5036370408,0.0,10,9.38345601391,1,0.0,4,6.41427527851,7,2,-0.0604474863867,0,0.0,1,8,-0.449518673832,0.0,19.0356116327,2.15484540553,2.15484540553,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,7.0411234264,15.8569439696,0.0,0.0,3,4,1,14.8210447801,0.0,0,6,0.0,1.0,2,-0.629677131316,1,2,4,0.0,4,3,4,5,1,2,6,-0.0575020418893,2,5,2,5,15.8569439696,0,1,0,2,1,3,0,26.2919983212,0.0,5,0.0,2,0.0,7,0.0,6,2,-0.0604474863867,0,0.0,1,6,0.492258406572,10.6352288387,18.9564399889,5.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,3,6.6611081308,14.5804167174,14.3452267177,0.0,3,4,2,12.2375602267,0.0,2,6,1.0,0.0,2,-0.288430667379,2,2,4,0.0,4,2,4,5,1,2,6,0.631341720703,2,5,2,5,17.3560418965,1,1,0,5,1,2,0,27.300424448,0.0,10,8.84865273701,1,0.0,11,5.60873730421,7,2,-0.0604474863867,0,0.0,1,6,-0.30106120303,0.0,19.2922451639,2.57858283255,2.37886580797,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,4,6.37721516057,14.7517244719,13.8273493077,0.0,3,1,3,9.66432074338,0.0,0,6,1.0,0.0,4,-0.0472831661962,2,2,4,10.3533282014,4,3,4,2,1,1,6,0.789589612109,3,5,3,5,17.1806687597,0,1,2,5,1,2,0,26.2593377779,0.0,11,0.0,2,0.0,4,5.2383625554,7,2,-0.0604474863867,0,0.0,1,7,-0.681483471961,0.0,18.8588739862,7.35172374519,5.29462068239,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7.15776625747,15.4553506121,15.1158378646,0.0,4,4,0,13.295773378,0.0,2,6,1.0,0.0,2,-0.161031987509,2,2,4,0.0,4,2,4,5,1,2,6,1.69253346307,3,5,2,5,18.3031725103,1,1,0,5,1,2,0,28.8688148807,0.0,10,11.1447538377,1,0.0,3,7.15776625747,8,2,-0.0604474863867,0,0.0,1,9,0.220859592761,9.32456578166,20.3409713612,2.75922786958,2.75922786958,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,6,7.18623908994,14.0222405182,12.7699667881,10.8588251483,1,4,3,13.7064250949,0.0,2,6,1.0,0.0,2,-1.13017194509,2,2,4,0.0,4,3,2,3,0,1,6,0.0355849530556,2,5,3,5,16.1772310782,1,1,0,0,1,3,0,28.7996602071,0.0,9,0.0,2,13.5401655574,1,4.93670377332,5,2,-0.0604474863867,0,0.0,1,5,-0.58869755271,5.50816239138,18.217771504,3.81170173916,3.59385963794,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,7,6.88865495787,17.1209586959,0.0,0.0,3,4,0,16.1989386384,0.0,2,6,1.0,0.0,0,-0.55460290925,2,2,4,0.0,4,2,4,2,1,2,6,0.761663513626,2,5,2,5,17.1209586959,0,1,0,2,1,2,0,26.6013171761,0.0,5,9.23437246493,3,0.0,10,6.26303939216,8,2,-0.0604474863867,0,0.0,1,7,1.47578915064,10.1571656651,20.3968023147,1.59753955386,1.22865469808,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,8,7.38755364162,15.3178596687,14.8412497607,0.0,3,4,2,14.3138873754,5.06173308543,0,1,1.0,0.0,2,-0.784375528301,4,2,4,9.82303386486,4,3,4,5,2,2,6,0.0542023520445,2,5,2,5,18.0696396525,1,1,0,5,1,3,0,26.7859045665,0.0,10,9.9752269498,3,11.1447538377,2,9.49842333884,7,2,-0.0604474863867,0,0.0,1,7,0.132712969472,9.91256689785,20.1157236718,5.29462068239,5.29462068239,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,9,6.01972287721,14.9960922232,13.8074103174,0.0,2,4,3,0.0,0.0,6,6,0.0,0.0,4,0.890007121419,0,2,1,9.51254062298,4,3,4,5,2,2,2,-0.0202672439114,2,5,3,1,17.3259360188,0,1,2,0,2,3,0,23.5979221933,0.0,9,0.0,2,0.0,6,0.0,7,2,-0.0604474863867,0,0.0,1,8,-0.226832467628,7.32475465863,19.328034999,6.95057838676,6.30161234813,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,10,5.97700948714,15.2066238239,0.0,0.0,2,4,3,14.277820107,0.0,2,6,1.0,0.0,4,-0.957273736696,0,0,4,0.0,4,3,4,5,2,1,6,-1.24436122744,1,5,2,2,15.2066238239,0,1,0,1,2,3,0,24.7209365567,0.0,4,0.0,2,0.0,0,1.89864830731,5,2,-0.0604474863867,0,0.0,1,5,-0.136366196358,0.0,18.0208896179,6.69471418714,6.30161234813,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
